name,websiteUrl,twitterHandle,githubHandle,duneHandle,fundingWalletAddress,,,
limes.eth,https://www.tally.xyz/profile/limes.eth?governanceId=eip155:42161:0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9,limes_eth,limes-eth,,,,,
Arbitrum Thailand,https://facebook.com/CoinRuay,TrafalgarL9,ArbitrumThailand,,,,,
Taylor Pedde,,TaylorJPedde,Taylor-Pedde,,,,,
Carl Zielinski,,CarlZielinski,CarlZielinski,,,,,
Nathan VDH,,NathanVDH0x,TheNathanVDH,,,,,
0xngmi,https://defillama.com/,0xngmi,DefiLlama,,,,,
Alex Lumley,svy.gg,SavvyAlexLumley,alexlumley,,,,,
Karla God,https://borderless.cryptosmartnow.io/,_karlagod,CryptoSmartNow,,,,,
Arabian Horses,https://flipsidecrypto.xyz/arabianhorses-jZtVNa/arbitrum-governance-HRC-CK,oguzthestoic,arabianhorses,,,,,
0xdim,https://research.svy.gg/_static/reports/arbitrum-dao-stip-results.html,0x_idm,0xidm,,,,,
ReFi Medellin,https://refimedellin.org/,refimedellin,ReFiMedellin,,,,,
Dandelion,https://dandelion.events/,,symbiota-coop,,,,,
Green Digital Gardens,https://dgguardians.com/,dg_guardians,Green-Digital-Guardians,,,,,
GreenPill Nigeria,https://bafkreig3fvhhfqbcorvegxuifhssxdqvmdxkxvyjt5bb7zibggbcvo4sdy.ipfs.nftstorage.link/,greenpillnaija,,,,,,
Fundación Salva Terra,https://www.fundacionsalvaterra.org/,fundasalvaterra,Salva-Terra-Foundation,,,,,
Helios,helios.eco,HeliosReFi,,,,,,
Bankless Academy,banklessacademy.com,BanklessAcademy,bankless-academy,,,,,
Greenpill Kenya,https://greenpill.network/,GreenpillKenya,,,,,,
StatelessArt,https://www.statelessart.org/,StatelessDAO,STATELESSART,,,,,
Dream DAO,https://dreamdao.xyz/,DreamDAO_,thedreamdao-eth,,,,,
EcoSynthesis,https://linktr.ee/ecosynthesisx,EcoSynthesisX,EcoSynthesisX,,,,,
Solarpunkverse,https://solarpunkdao.earth/,solarpunkverse,peacefulprogress25,,,,,
Kokunut Foundation,https://kokonut.foundation/,KKNFoundation,,,,,,
Trusted Seed,https://trustedseed.org/,TrustedSeed,,,,,,
ReFi Paramaribo,https://www.innovatorsbuzz.org/,ReFiParamaribo,,,,,,
Fiat24,https://www.fiat24.com/,Fiat24Account,Fiat24,,,,,
